label,master_id,source_status,pretest_probability,post_test_probability_negative
Rout >12,FT-010,peer_reviewed_full_report,0.72,0.6359743040685225
Rout >12,FT-010,peer_reviewed_full_report,0.7224999999999999,0.6388482186432406
Rout >12,FT-010,peer_reviewed_full_report,0.7250000000000001,0.64172813487882
Rout >12,FT-010,peer_reviewed_full_report,0.7275,0.6446140715950174
Rout >12,FT-010,peer_reviewed_full_report,0.73,0.6475060476903582
Rout >12,FT-010,peer_reviewed_full_report,0.7324999999999999,0.6504040821425482
Rout >12,FT-010,peer_reviewed_full_report,0.7350000000000001,0.6533081940088886
Rout >12,FT-010,peer_reviewed_full_report,0.7375,0.6562184024266937
Rout >12,FT-010,peer_reviewed_full_report,0.74,0.6591347266137118
Rout >12,FT-010,peer_reviewed_full_report,0.7424999999999999,0.6620571858685478
Rout >12,FT-010,peer_reviewed_full_report,0.7450000000000001,0.6649857995710893
Rout >12,FT-010,peer_reviewed_full_report,0.7475,0.6679205871829339
Rout >12,FT-010,peer_reviewed_full_report,0.75,0.6708615682478218
Rout >12,FT-010,peer_reviewed_full_report,0.7525,0.673808762392069
Rout >12,FT-010,peer_reviewed_full_report,0.7550000000000001,0.6767621893250035
Rout >12,FT-010,peer_reviewed_full_report,0.7575000000000001,0.6797218688394046
Rout >12,FT-010,peer_reviewed_full_report,0.76,0.6826878208119459
Rout >12,FT-010,peer_reviewed_full_report,0.7625,0.6856600652036396
Rout >12,FT-010,peer_reviewed_full_report,0.7650000000000001,0.688638622060285
Rout >12,FT-010,peer_reviewed_full_report,0.7675000000000001,0.6916235115129175
Rout >12,FT-010,peer_reviewed_full_report,0.77,0.6946147537782638
Rout >12,FT-010,peer_reviewed_full_report,0.7725,0.6976123691591982
Rout >12,FT-010,peer_reviewed_full_report,0.7750000000000001,0.7006163780452013
Rout >12,FT-010,peer_reviewed_full_report,0.7775000000000001,0.7036268009128217
Rout >12,FT-010,peer_reviewed_full_report,0.78,0.7066436583261433
Rout >12,FT-010,peer_reviewed_full_report,0.7825,0.7096669709372515
Rout >12,FT-010,peer_reviewed_full_report,0.7849999999999999,0.7126967594867057
Rout >12,FT-010,peer_reviewed_full_report,0.7875000000000001,0.7157330448040132
Rout >12,FT-010,peer_reviewed_full_report,0.79,0.7187758478081059
Rout >12,FT-010,peer_reviewed_full_report,0.7925,0.7218251895078218
Rout >12,FT-010,peer_reviewed_full_report,0.7949999999999999,0.724881091002388
Rout >12,FT-010,peer_reviewed_full_report,0.7975000000000001,0.7279435734819075
Rout >12,FT-010,peer_reviewed_full_report,0.8,0.7310126582278481
Rout >12,FT-010,peer_reviewed_full_report,0.8025,0.7340883666135372
Rout >12,FT-010,peer_reviewed_full_report,0.8049999999999999,0.737170720104656
Rout >12,FT-010,peer_reviewed_full_report,0.8075000000000001,0.7402597402597404
Rout >12,FT-010,peer_reviewed_full_report,0.81,0.7433554487306822
Rout >12,FT-010,peer_reviewed_full_report,0.8125,0.7464578672632364
Rout >12,FT-010,peer_reviewed_full_report,0.815,0.7495670176975294
Rout >12,FT-010,peer_reviewed_full_report,0.8175000000000001,0.7526829219685723
Rout >12,FT-010,peer_reviewed_full_report,0.8200000000000001,0.7558056021067754
Rout >12,FT-010,peer_reviewed_full_report,0.8225,0.7589350802384686
Rout >12,FT-010,peer_reviewed_full_report,0.825,0.762071378586424
Rout >12,FT-010,peer_reviewed_full_report,0.8275000000000001,0.7652145194703818
Rout >12,FT-010,peer_reviewed_full_report,0.8300000000000001,0.7683645253075784
Rout >12,FT-010,peer_reviewed_full_report,0.8325,0.7715214186132815
Rout >12,FT-010,peer_reviewed_full_report,0.835,0.7746852220013254
Rout >12,FT-010,peer_reviewed_full_report,0.8375000000000001,0.7778559581846511
Rout >12,FT-010,peer_reviewed_full_report,0.8400000000000001,0.7810336499758493
Rout >12,FT-010,peer_reviewed_full_report,0.8425,0.784218320287709
Rout >12,FT-010,peer_reviewed_full_report,0.845,0.7874099921337663
Rout >12,FT-010,peer_reviewed_full_report,0.8474999999999999,0.7906086886288605
Rout >12,FT-010,peer_reviewed_full_report,0.8500000000000001,0.7938144329896908
