master_id,robis_overall_a,robis_overall_b,robis_low_both,robis_not_high_both,robis_high_either,robis_consensus_domain_1,robis_consensus_domain_2,robis_consensus_domain_3,robis_consensus_domain_4,robis_consensus_overall,applicability_a,applicability_b,confidence_a,confidence_b,final_applicability_raw,final_confidence_raw,reconstructed_applicability,reconstructed_confidence,consensus_applicability_candidate,consensus_confidence_candidate,amstar_consensus_applicability,amstar_consensus_confidence,robis_final_low,robis_final_unclear,robis_final_high,quality_mode
FT-025,LOW,HIGH,FALSE,FALSE,TRUE,LOW,LOW,UNCLEAR,HIGH,HIGH,IN_SCOPE,IN_SCOPE,LOW,LOW,IN_SCOPE,LOW,IN_SCOPE,LOW,IN_SCOPE,LOW,IN_SCOPE,LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-027,UNCLEAR,UNCLEAR,FALSE,TRUE,FALSE,UNCLEAR,LOW,LOW,UNCLEAR,UNCLEAR,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,TRUE,FALSE,FINAL_CONSENSUS
FT-028,HIGH,UNCLEAR,FALSE,FALSE,TRUE,UNCLEAR,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-029,HIGH,UNCLEAR,FALSE,FALSE,TRUE,LOW,LOW,HIGH,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-030,HIGH,UNCLEAR,FALSE,FALSE,TRUE,UNCLEAR,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-031,HIGH,UNCLEAR,FALSE,FALSE,TRUE,UNCLEAR,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-032,HIGH,UNCLEAR,FALSE,FALSE,TRUE,UNCLEAR,UNCLEAR,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-034,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,HIGH,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-036,HIGH,LOW,FALSE,FALSE,TRUE,LOW,LOW,LOW,LOW,LOW,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,TRUE,FALSE,FALSE,FINAL_CONSENSUS
FT-038,HIGH,LOW,FALSE,FALSE,TRUE,LOW,LOW,LOW,LOW,LOW,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,TRUE,FALSE,FALSE,FINAL_CONSENSUS
FT-039,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,UNCLEAR,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-041,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,HIGH,HIGH,HIGH,IN_SCOPE,IN_SCOPE,CRITICALLY_LOW,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
